Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,30.00,BTS Operation,PB-5378,4 X 4 Double cab," 228,833.34 "," 228,833.34 "," 4,246.00 ", 178.00 , -   ," 1,746.00 ", 80.84 ," 141,146.64 "," 16,484.58 ", -   ," 386,464.56 "," 69,563.62 "," 456,028.18 ", -   , -   , -   ," 7,627.78 ",, -   , -   , -   ," 386,464.56 "," 69,563.62 "," 456,028.18 "
Prime,Ampara,30.00,BTS Operation,PF-2252,24 hrs Passenger Van," 238,533.34 "," 238,533.34 "," 4,244.00 ", 199.00 , -   ," 1,744.00 ", 72.84 ," 127,032.96 ", -   , -   ," 365,566.30 "," 65,801.93 "," 431,368.23 ", -   , -   , -   ," 7,951.11 ",, -   , -   , -   ," 365,566.30 "," 65,801.93 "," 431,368.23 "
Prime,Ampara,30.00,Power,PC-4191,Passenger Van," 181,833.34 "," 181,833.34 "," 2,861.00 ", 44.00 , -   , 361.00 , 72.84 ," 26,295.24 "," 3,950.32 ", -   ," 212,078.90 "," 38,174.20 "," 250,253.10 ", -   , -   , -   ," 6,061.11 ",, -   , -   , -   ," 212,078.90 "," 38,174.20 "," 250,253.10 "
Prime,Ampara,29.00,Sites Acquisition,CAU-6726,Passenger Car," 139,500.00 "," 134,850.00 "," 6,970.00 ", 167.00 , -   ," 4,470.00 ", 53.40 ," 238,698.00 "," 15,531.00 ", -   ," 389,079.00 "," 70,034.22 "," 459,113.22 ", 1.00 , -   ," 2,000.00 "," 4,650.00 ",," (2,000.00)", (360.00)," (2,360.00)"," 387,079.00 "," 69,674.22 "," 456,753.22 "
Prime,A'pura,30.00,BTS Operation,PD-0518,24 hrs Passenger Van," 238,533.34 "," 238,533.34 "," 4,492.00 ", 477.00 , -   ," 1,992.00 ", 72.84 ," 145,097.28 ", -   , -   ," 383,630.62 "," 69,053.51 "," 452,684.13 ", -   , -   , -   ," 7,951.11 ",, -   , -   , -   ," 383,630.62 "," 69,053.51 "," 452,684.13 "
Prime,A'pura,30.00,Projects,CBJ-5825,Passenger Car," 139,500.00 "," 139,500.00 "," 2,994.00 ", 50.00 , 2.00 , 494.00 , 53.40 ," 26,379.60 "," 4,650.00 ", 800.00 ," 171,329.60 "," 30,839.33 "," 202,168.93 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 171,329.60 "," 30,839.33 "," 202,168.93 "
Prime,A'pura,30.00,RND,KT-4604,Van Field Use," 104,853.33 "," 104,853.33 "," 1,604.00 ", 35.50 , 1.00 , 104.00 , 55.00 ," 5,720.00 "," 3,287.66 ", 400.00 ," 114,260.99 "," 20,566.98 "," 134,827.96 ", -   , -   , -   ," 3,495.11 ",, -   , -   , -   ," 114,260.99 "," 20,566.98 "," 134,827.96 "
Prime,A'pura,20.00,Civil,JG-8504,Passenger Car," 122,100.00 "," 81,400.00 "," 1,522.00 ", 24.00 , -   , 22.00 , 53.40 ," 1,174.80 "," 2,232.00 ", -   ," 84,806.80 "," 15,265.22 "," 100,072.02 ", -   , -   , -   ," 4,070.00 ",, -   , -   , -   ," 84,806.80 "," 15,265.22 "," 100,072.02 "
Prime,A'pura,30.00,Sites Acquisition,CBI-5082,Passenger Car," 139,500.00 "," 139,500.00 "," 2,874.00 ", 53.50 , 1.00 , 374.00 , 53.40 ," 19,971.60 "," 4,975.50 ", 400.00 ," 164,847.10 "," 29,672.48 "," 194,519.58 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 164,847.10 "," 29,672.48 "," 194,519.58 "
Prime,A'pura,30.00,BTS Operation,PF-3301,4 X 4 Double cab," 228,833.34 "," 228,833.34 "," 2,495.32 ", 23.50 , -   ,, 80.84 , -   ," 2,176.34 ", -   ," 231,009.68 "," 41,581.74 "," 272,591.42 ", -   , -   , -   ," 7,627.78 ",, -   , -   , -   ," 231,009.68 "," 41,581.74 "," 272,591.42 "
Prime,A'pura,30.00,Power,PG-0415,Passenger Van," 181,833.34 "," 181,833.34 "," 3,647.00 ", 97.50 , -   ," 1,147.00 ", 72.84 ," 83,547.48 "," 8,753.55 ", -   ," 274,134.37 "," 49,344.19 "," 323,478.56 ", -   , -   , -   ," 6,061.11 ",, -   , -   , -   ," 274,134.37 "," 49,344.19 "," 323,478.56 "
Prime,A'pura,30.00,BTS Operation,PF-1928,Passenger Van," 181,833.34 "," 181,833.34 "," 2,774.00 ", 39.00 , -   , 274.00 , 72.84 ," 19,958.16 "," 3,501.42 ", -   ," 205,292.92 "," 36,952.73 "," 242,245.65 ", -   , -   , -   ," 6,061.11 ",, -   , -   , -   ," 205,292.92 "," 36,952.73 "," 242,245.65 "
Prime,Badulla,30.00,RND,PD-2505,Passenger Van," 181,833.34 "," 181,833.34 "," 2,773.00 ", 68.50 , -   , 273.00 , 72.84 ," 19,885.32 "," 6,149.93 ", -   ," 207,868.59 "," 37,416.35 "," 245,284.94 ", -   , -   , -   ," 6,061.11 ",, -   , -   , -   ," 207,868.59 "," 37,416.35 "," 245,284.94 "
Prime,Batticalo,30.00,RND,PI-1637,Van Field Use," 125,300.00 "," 125,300.00 "," 2,155.00 ", 74.50 , -   ,, 55.00 , -   ," 6,899.45 ", -   ," 132,199.45 "," 23,795.90 "," 155,995.35 ", -   , -   , -   ," 4,176.67 ",, -   , -   , -   ," 132,199.45 "," 23,795.90 "," 155,995.35 "
Prime,Chilaw,30.00,BTS Operation,PE-3785,Passenger Van," 181,833.34 "," 181,833.34 "," 2,546.00 ", 47.50 , -   , 46.00 , 72.84 ," 3,350.64 "," 4,264.55 ", -   ," 189,448.53 "," 34,100.74 "," 223,549.27 ", -   , -   , -   ," 6,061.11 ",, -   , -   , -   ," 189,448.53 "," 34,100.74 "," 223,549.27 "
Prime,Colombo,30.00,BTS Operation,PF-3955,Self-Driven 4 X 4 Double cab," 146,475.00 "," 146,475.00 "," 1,732.00 ", -   , -   ,, 51.45 , -   , -   , -   ," 146,475.00 "," 26,365.50 "," 172,840.50 ", -   , -   , -   ," 4,882.50 ",, -   , -   , -   ," 146,475.00 "," 26,365.50 "," 172,840.50 "
Prime,Galle,30.00,BTS Operation,PD-8263,4 X 4 Double cab," 228,833.34 "," 228,833.34 "," 2,453.00 ", 12.00 , -   ,, 80.84 , -   ," 1,111.32 ", -   ," 229,944.66 "," 41,390.04 "," 271,334.70 ", -   , -   , -   ," 7,627.78 ",, -   , -   , -   ," 229,944.66 "," 41,390.04 "," 271,334.70 "
Prime,Galle,30.00,Projects,CBA-9724,Passenger Car," 139,500.00 "," 139,500.00 "," 2,493.00 ", 78.50 , -   ,, 53.40 , -   ," 7,300.50 ", -   ," 146,800.50 "," 26,424.09 "," 173,224.59 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 146,800.50 "," 26,424.09 "," 173,224.59 "
Prime,Galle,30.00,RND,CAO-5836,Passenger Car," 139,500.00 "," 139,500.00 "," 2,181.00 ", 23.50 , -   ,, 53.40 , -   ," 2,185.50 ", -   ," 141,685.50 "," 25,503.39 "," 167,188.89 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 141,685.50 "," 25,503.39 "," 167,188.89 "
Prime,Homagama,30.00,BTS Operation,CBF-3501,Passenger Car," 122,100.00 "," 122,100.00 "," 1,688.00 ", 16.00 , -   , 188.00 , 53.40 ," 10,039.20 "," 1,488.00 ", -   ," 133,627.20 "," 24,052.90 "," 157,680.10 ", -   , -   , -   ," 4,070.00 ",, -   , -   , -   ," 133,627.20 "," 24,052.90 "," 157,680.10 "
Shakya,Jaffna,13.00,BTS Operation,HJ-1100,Passenger Van," 170,246.67 "," 73,773.56 "," 1,833.00 ", 54.00 , -   ,, 64.67 , -   ," 4,848.12 ", -   ," 78,621.68 "," 14,151.90 "," 92,773.58 ", -   , -   , -   ," 5,674.89 ",, -   , -   , -   ," 78,621.68 "," 14,151.90 "," 92,773.58 "
Shakya,Jaffna,17.00,BTS Operation,56-7935,Passenger Van," 127,476.67 "," 72,236.78 "," 1,886.00 ", 56.00 , -   ,, 64.67 , -   ," 5,027.68 ", -   ," 77,264.46 "," 13,907.60 "," 91,172.06 ", -   , -   , -   ," 4,249.22 ",, -   , -   , -   ," 77,264.46 "," 13,907.60 "," 91,172.06 "
Shakya,Jaffna,30.00,Sites Acquisition,PB-6807,Passenger Van," 170,246.67 "," 170,246.67 "," 2,431.00 ", 44.00 , -   ,, 64.67 , -   ," 3,950.32 ", -   ," 174,196.99 "," 31,355.46 "," 205,552.45 ", -   , -   , -   ," 5,674.89 ",, -   , -   , -   ," 174,196.99 "," 31,355.46 "," 205,552.45 "
Prime,kadawatha,30.00,BTS Operation,PA-2478,Passenger Van," 155,500.00 "," 155,500.00 "," 1,564.00 ", 26.00 , -   , 64.00 , 72.84 ," 4,661.76 "," 2,334.28 ", -   ," 162,496.04 "," 29,249.29 "," 191,745.33 ", -   , -   , -   ," 5,183.33 ",, -   , -   , -   ," 162,496.04 "," 29,249.29 "," 191,745.33 "
CS Tours,kadawatha,30.00,BTS Operation,PF-9818,Self-Driven 4 X 4 Double cab," 137,025.00 "," 137,025.00 "," 1,614.00 ", -   , -   , 114.00 , 51.45 ," 5,865.30 ", -   , -   ," 142,890.30 "," 25,720.25 "," 168,610.55 ", -   , -   , -   ," 4,567.50 ",, -   , -   , -   ," 142,890.30 "," 25,720.25 "," 168,610.55 "
Prime,Kandy,30.00,BTS Operation,CAH-0556,Passenger Car," 139,500.00 "," 139,500.00 "," 3,157.00 ", 61.50 , -   , 657.00 , 53.40 ," 35,083.80 "," 5,719.50 ", -   ," 180,303.30 "," 32,454.59 "," 212,757.89 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 180,303.30 "," 32,454.59 "," 212,757.89 "
Prime,Kandy,18.00,BTS Operation,PD-3222,4 X 4 Double cab," 228,833.34 "," 137,300.00 "," 1,878.00 ", 35.50 , -   ,, 80.84 , -   ," 3,287.66 ", -   ," 140,587.66 "," 25,305.78 "," 165,893.44 ", 1.00 , -   ," 2,000.00 "," 7,627.78 ",," (2,000.00)", (360.00)," (2,360.00)"," 138,587.66 "," 24,945.78 "," 163,533.44 "
Prime,Kandy,3.00,Sites Acquisition,PJ-1477,Van Field Use," 100,842.57 "," 10,084.26 ", 387.00 , 4.50 , -   ,, 55.00 , -   , 416.75 , -   ," 10,501.00 "," 1,890.18 "," 12,391.18 ", -   , -   , -   ," 3,361.42 ",, -   , -   , -   ," 10,501.00 "," 1,890.18 "," 12,391.18 "
Prime,Kandy,30.00,Sites Acquisition,CAC-5437,Van Field Use," 125,300.00 "," 125,300.00 "," 2,638.00 ", 34.00 , -   , 138.00 , 55.00 ," 7,590.00 "," 3,148.74 ", -   ," 136,038.74 "," 24,486.97 "," 160,525.71 ", -   , -   , -   ," 4,176.67 ",, -   , -   , -   ," 136,038.74 "," 24,486.97 "," 160,525.71 "
Prime,Kandy,30.00,RND,PI-3731,Van Field Use," 125,300.00 "," 125,300.00 "," 2,277.00 ", 84.00 , -   ,, 55.00 , -   ," 7,779.24 ", -   ," 133,079.24 "," 23,954.26 "," 157,033.50 ", -   , -   , -   ," 4,176.67 ",, -   , -   , -   ," 133,079.24 "," 23,954.26 "," 157,033.50 "
Prime,Kandy,24.00,Power,252-2977,Passenger Van," 136,166.67 "," 108,933.34 "," 1,800.00 ", 40.00 , -   ,, 64.67 , -   ," 3,591.20 ", -   ," 112,524.54 "," 20,254.42 "," 132,778.95 ", -   , -   , -   ," 4,538.89 ",, -   , -   , -   ," 112,524.54 "," 20,254.42 "," 132,778.95 "
Prime,Kandy,6.00,Power,PF-0288,Passenger Van," 148,333.34 "," 29,666.67 ", 362.00 , 10.50 , -   ,, 72.84 , -   , 942.69 , -   ," 30,609.36 "," 5,509.68 "," 36,119.04 ", -   , -   , -   ," 4,944.44 ",, -   , -   , -   ," 30,609.36 "," 5,509.68 "," 36,119.04 "
Prime,Katunayaka,30.00,Projects,CAN-3782,Passenger Car," 139,500.00 "," 139,500.00 "," 2,262.00 ", 14.50 , -   ,, 53.40 , -   ," 1,348.50 ", -   ," 140,848.50 "," 25,352.73 "," 166,201.23 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 140,848.50 "," 25,352.73 "," 166,201.23 "
Prime,Katunayaka,27.00,BTS Operation,PD-1734,4 X 4 Double cab," 228,833.34 "," 205,950.01 "," 2,090.58 ", 59.00 , -   ,, 80.84 , -   ," 5,463.99 ", -   ," 211,414.00 "," 38,054.52 "," 249,468.52 ", 3.00 , -   ," 6,000.00 "," 7,627.78 ",," (6,000.00)"," (1,080.00)"," (7,080.00)"," 205,414.00 "," 36,974.52 "," 242,388.52 "
Prime,Katunayaka,30.00,BTS Operation,PC-8556,Self-Driven 4 X 4 Double cab," 137,025.00 "," 137,025.00 "," 1,257.41 ", -   , -   ,, 51.45 , -   , -   , -   ," 137,025.00 "," 24,664.50 "," 161,689.50 ", -   , -   , -   ," 4,567.50 ",, -   , -   , -   ," 137,025.00 "," 24,664.50 "," 161,689.50 "
CS Tours,Kurunegala,30.00,Civil,PE-0852,Van Field Use," 125,300.00 "," 125,300.00 "," 2,704.00 ", 35.00 , -   , 204.00 , 55.00 ," 11,220.00 "," 3,241.35 ", -   ," 139,761.35 "," 25,157.04 "," 164,918.39 ", -   , -   , -   ," 4,176.67 ",, -   , -   , -   ," 139,761.35 "," 25,157.04 "," 164,918.39 "
Prime,Kurunegala,30.00,Sites Acquisition,CAC-4723,Passenger Car," 139,500.00 "," 139,500.00 "," 3,111.00 ", 35.00 , -   , 611.00 , 53.40 ," 32,627.40 "," 3,255.00 ", -   ," 175,382.40 "," 31,568.83 "," 206,951.23 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 175,382.40 "," 31,568.83 "," 206,951.23 "
Prime,Kurunegala,30.00,Sites Acquisition,CAQ-0450,Passenger Car," 139,500.00 "," 139,500.00 "," 3,085.00 ", 72.00 , 5.00 , 585.00 , 53.40 ," 31,239.00 "," 6,696.00 "," 2,000.00 "," 179,435.00 "," 32,298.30 "," 211,733.30 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 179,435.00 "," 32,298.30 "," 211,733.30 "
