Vehicle No,Vehicle Type,Pool / Engineering,Jan-25,,Feb-25,,Mar-25,,Apr-25,,May-25,,Jun-25,,Jul-25,,Aug-25,,Sep-25,,Oct-25,,Nov-25,,Dec-25,
,,,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR
PI-2759,4X4 Double Cab,Engineering,, -   ,, -   ,, -   ," 105,746.87 ", -   ,, -   ,, -   ,,,"43,409.30",,,,,"168,802.90",,"72,600.00",,
PI-2758,4X4 Double Cab,Engineering,," 148,680.84 ","26,610.97"," 5,500.00 "," 25,687.89 ", -   ,,"78,519.63"," 29,570.91 ", -   ," 15,690.00 "," 48,645.21 ",," 177,958.23 ","29,506.00"," 178,616.01 ",," 22,230.00 ","30,633.71","6,782.60",,"17,500.00",,
PI-2756,4X4 Double Cab,Engineering,," 65,550.92 ","31,722.73",,,"176,388.34","46,442.33",," 24,796.15 ",," 27,418.44 ",,,,"29,113.59"," 16,500.00 ","28,454.88",,,"116,159.32","36,544.83","26,202.79",,
PI-2755,4X4 Double Cab,Engineering,," 227,298.66 ","24,419.38"," 6,500.00 "," 29,437.90 ",,,," 30,333.35 "," 29,500.00 ",,," 30,230.20 ","22,984.38",,"2,800.00","31,806.08",,,"265,045.00","27,694.17","31,967.80",,
PF-5706,4X4 Double Cab,Engineering,,,," 354,192.73 "," 18,964.08 "," 27,824.36 ",,," 48,111.05 "," 7,058.40 "," 33,405.85 "," 9,434.23 ",,"105,500.00","31,285.10","18,983.60",,,"39,464.38","8,667.80",,,,
PF-5705,4X4 Double Cab,Engineering,,,"33,178.50",,,,,,,,," 106,100.00 "," 35,206.34 ",,,,,,,"38,891.10","36,071.52","164,624.57",,
PF-5704,4X4 Double Cab,Engineering,"31,126.52","33,175.00",, 536.90 ," 22,667.09 "," 192,196.27 ",,,"34,439.40"," 145,808.26 "," 36,986.90 ",," 32,748.69 ","79,900.00",,"39,850.00","29,515.42","30,724.00",,,"49,273.20","5,000.00",,
PF-5703,4X4 Double Cab,Engineering,, 400.00 ,"32,612.94",,,,,," 36,099.77 "," 138,604.70 ",," 15,000.00 "," 30,712.80 ",,,3700,"51,398.06",,,"103,047.50","28,028.17","9,894.24",,
PF-5702,4X4 Double Cab,Engineering,,,"24,091.66"," 202,822.66 "," 24,091.66 "," 32,500.00 "," 34,874.61 ",,,," 54,471.27 ",,,"105,081.10","28,249.11","70,368.20","27,907.71",,,,"30,401.82",,,
PF-5700,4X4 Double Cab,Pool,"27,999.42","40,647.00",,"2,855.91"," 27,947.99 "," 97,165.95 "," 65,727.12 ",,," 147,242.09 "," 30,031.71 ",,," 45,538.75 ","28,215.31",,,,"27,955.22",,,,,
PF-5699,4X4 Double Cab,Engineering,,"50,873.64",,," 32,566.46 "," 369,494.01 ",,," 73,884.04 ",,," 21,876.80 "," 32,313.80 ","21,876.80",,,," 166,101.10 ","27,983.38","77,085.00",,500,,
PF-5698,4X4 Double Cab,Engineering,,,"23,562.07",,,,,,," 132,000.00 "," 37,766.75 "," 18,308.00 ",," 2,712.00 ",,,"35,269.77"," 71,803.00 ",,,,,,
PF-5697,4X4 Double Cab,Engineering,"30,505.45",,," 23,932.20 "," 62,940.00 "," 37,233.00 ",,," 45,940.18 ",,,," 36,169.00 "," 90,648.00 ","35,847.47"," 128,481.00 ",,,"35,951.27",,,"9,100.00",,
PF-4364,4X4 Double Cab,Engineering,"49,517.49"," 261,316.10 ",,,,,,,,,,,,,,,,,,,,,,
PF-4363,4X4 Double Cab,Engineering,," 121,859.65 ","32,197.45"," 2,100.00 ",," 3,800.00 "," 38,302.79 ",,,," 51,629.68 "," 243,538.58 "," 47,466.45 ","135,421.94",,"45,891.50","35,385.72",,,"24,601.20",,"41,668.75",,
PF-4362,4X4 Double Cab,Engineering,"7,040.00"," 7,040.00 ","38,000.00",,,,,," 5,750.00 ",,,,"5,600.00",,,"4,950.00","6,400.00","52,120.00",,"16,824.58",,,,
PD-9904,4X4 Double Cab,Engineering,,,"5,600.00",,," 9,086.02 "," 5,600.00 ",,," 3,000.00 ",,," 5,600.00 ",,,"21,890.00",,,"5,750.00",,,,,
PD-9903,4X4 Double Cab,Engineering,," 17,930.00 ",,," 5,720.00 ",,,,,"14,200.00"," 7,380.00 ",,"16,310.00",,,,,"4,576.27",,,,,,
PD-9902,4X4 Double Cab,Engineering,,,," 18,700.00 ",,," 8,740.00 ",,,,,"145,185.00","2,960.00",,"13,190.00",,,250,"17,830.00",,"17,990.00",,,
PD-9901,4X4 Double Cab,Engineering,,,,," 6,950.00 ",,,,"9,130.00","8,350.00",,,,,"15,300.00","6,073.09",,,,,"4,160.00",,,
PD-9899,4X4 Double Cab,Engineering,,," 5,750.00 ",,,,,,,"8,350.00","7,490.00",,,,,"4,576.27",,,,"17,670.00",,,,
PD-9896,4X4 Double Cab,Engineering," 5,442.00 ",,,," 9,600.00 "," 20,041.50 ",,," 6,550.00 ", 550.00 ,,,"8,590.00",,,"2,500.00","22,040.00","42,180.00",,,"9,740.00",,,
PD-9895,4X4 Double Cab,Engineering,,," 8,280.00 ",,," 45,250.00 ",,,,,,," 7,550.00 ","118,975.00","2,700.00",,,,,,"6,525.00",,,
PD-9894,4X4 Double Cab,Engineering,,," 10,780.00 ",,," 15,380.00 "," 15,380.00 "," 71,137.00 ",," 10,040.00 ",,,,,,,"9,400.00","6,900.00",,"9,423.73",,,,
PD-9893,4X4 Double Cab,Engineering,,,,," 8,770.00 ",,," 86,517.00 ",,," 22,310.00 ","14,200.00"," 6,490.00 ","11,890.00",650,,"6,490.00",,650,,"1,200.00",,,
ND-1618,Passenger Van,Pool,,,"5,600.00",,, 675.00 ,,," 10,260.00 ",," 7,130.00 ",,,,"6,290.00","19,993.70",,,"7,100.00",,,,,
ND-1290,Passenger Van,Pool,,,"26,909.01",," 79,716.48 "," 185,390.00 "," 28,344.10 ",,,"3,868.00"," 25,621.16 ",,," 12,379.84 ","25,676.44","34,050.00",,,"24,402.62",,"26,507.59","119,681.02",,
ND-1289,Passenger Van,Pool," 27,740.11 ",,"10,152.62",," 56,578.18 ",," 17,178.05 "," 7,850.00 "," 29,087.46 "," 62,545.76 "," 29,678.05 "," 17,500.00 "," 29,986.25 ","10,242.85","26,498.77","9,718.65"," 27,362.69 ","28,500.00",,"278,536.56",,,,
ND-1090,Passenger Van,Pool,,,,," 53,753.96 "," 216,110.70 ",,,," 82,939.79 "," 27,386.03 ",,,,,,,"14,050.00","26,794.64","181,734.50","30,212.06","72,973.67",,
ND-1026,Passenger Van,Pool,,,"31,728.45",,," 72,500.00 ",,," 60,879.31 ",,,," 34,079.79 ","20,128.00",,,,,,"248,539.08",,"18,600.00",,
ND-1024,Passenger Van,Pool,"26,554.63","52,335.00","27,682.56",,,"240,806.55"," 62,988.37 "," 13,950.00 ",,," 29,103.75 "," 176,000.00 "," 48,557.13 ","150,062.83",,,"27,291.51","47,800.00","26,004.08","169,122.53",,,,
ND-1023,Passenger Van,Pool,"16,355.47"," 45,000.00 ",," 528,029.90 ",,," 67,325.00 ",,"27,125.00",,,," 43,338.31 ",,,"1,550.00","30,355.60",," 63,639.08 ","148,627.96",,,,
ND-1022,Passenger Van,Pool,,,," 313,293.24 "," 24,884.94 ","76,982.42",," 13,500.00 ",,," 40,673.55 ",,"29,072.42","31,825.76",,,,"3,468.23","33,913.54","1,400.00",,,,
NB-6153,Passenger Van,Pool,," 7,200.00 ","36,489.74","52,335.00"," 27,365.22 "," 4,000.00 ",," 400,567.29 "," 28,281.22 ",,"64,305.14"," 230,227.00 "," 40,092.18 "," 168,022.43 ","28,625.95",,"26,433.80", 200.00 ,,"23,356.82",,"1,900.00",,
NB-6152,Passenger Van,Engineering,,,"28,887.13","89,506.20",," 473,933.43 "," 33,461.89 ",," 31,021.54 ",,"31,960.56",,,,"31,092.24","91,368.57","32,219.01"," 271,223.56 ",,"142,427.96",,,,
NA-9347,Passenger Van,Pool,"26,879.43"," 159,436.00 ","21,997.64","21,245.76",," 56,050.00 "," 31,191.33 "," 45,825.00 "," 62,237.24 ",," 29,800.29 "," 34,315.00 ",," 38,300.00 ","26,451.86"," 514,652.45 ","33,833.84"," 23,610.00 "," 34,067.96 ",,"32,423.72","50,217.65",,
NA-9346,Passenger Van,Pool,"27,778.23"," 12,950.00 ","23,426.51",,,," 49,848.95 ",," 25,808.06 ",,," 178,800.00 ",28485.54,"113,196.40",,,"76,823.70","248,956.89",,,"24,160.72",,,
NA-9345,Passenger Van,Pool,,," 41,738.41 "," 87,229.41 ",,," 32,788.41 ",,," 12,300.00 "," 21,898.39 "," 96,590.00 ",,,"26,646.84","212,781.15",,"9,900.00"," 17,848.92 ","1,600.00",,"77,500.00",,
NA-9344,Passenger Van,Pool,"28,154.68"," 60,372.19 ",,," 35,730.03 "," 121,607.50 ",," 91,440.00 ","33,974.24"," 92,039.82 ","66,802.43",,,,,"274,890.00"," 30,745.33 ","22,350.00","26,188.12","72,861.07","1,200.00","13,600.00",,
LN-3659,Crew Cab,Pool,"3,477.97"," 10,500.00 ",,,,,"41,206.11",,,," 41,795.00 "," 82,658.00 "," 2,400.00 ","70,050.00","36,827.00","14,789.77"," 36,015.00 ","46,750.00","4,000.00","145,077.96",,,,
KY-7361,Car,Pool,"28,450.69",,,"38,200.00"," 16,963.87 ",,," 215,505.58 "," 28,331.84 ",,,," 30,333.35 ",,"15,396.92","176,000.00","7,390.00",,"30,755.84","13,513.05",,"4,650.00",,
KY-7354,Car,Pool,"50,070.96"," 46,332.94 "," 5,597.46 "," 12,000.00 "," 33,200.00 ",," 9,600.00 ",," 44,640.00 ",," 21,304.92 ",," 50,861.32 ","40,300",,"1,086,730.72","35,062.43",,,"29,670.00","32,275.45","15,125.00",,
HI-9355,4X4 Double Cab,Engineering,"32,548.21"," 83,900.00 ",,," 31,071.32 "," 185,474.52 "," 37,472.48 ",,," 176,000.00 ",," 3,550.00 "," 33,253.68 ","361,776.56","31,017.21",,"31,303.61",,"31,274.00",,"34,463.85",,,
HI-9353,4X4 Double Cab,Engineering,"29,048.33",," 50,627.90 ",," 23,200.12 "," 323,663.12 "," 32,617.30 "," 19,000.00 ",,"353,750.26"," 38,155.71 ",," 40,916.00 ",,"76,213.85",,"29,718.24",,"45,504.19","412,629.05",,,,
BHI-8224,Motorbike,Pool,"60,984.58","53,669.96"," 25,584.79 ",,,," 62,600.48 ",,"32,036.89",,,," 32,278.21 ","2,500.00","34,483.67",,,"307,649.57","42,202.50","180,300.00",,"136,400.00",,
BFD-2320,Motorbike,Pool,," 207,521.52 ","5,130.00"," 9,950.00 ",,," 29,550.00 "," 19,821.64 "," 4,670.00 "," 10,561.00 "," 41,679.40 "," 76,880.31 "," 8,694.92 ","4,800.00",,,,"56,300.00","17,148.53","283,812.39",,,,
BFD-2302,Motorbike,Pool,"30,460.97",,"27,577.05",," 32,390.97 "," 65,033.32 ",,,"35,489.62","13,330.00",30449.97," 45,000.00 "," 35,243.48 ",,"43,808.73",,,"214,350.00","72,634.09","212,600.00","35,700.06","2,600.00",,
BFD-2292,Motorbike,Pool,,,"16,683.00","104,211.05",,," 26,449.57 ",,,,,," 37,573.10 ",,,,"28,002.33","122,810.18",,"13,340.00",,,,
BFD-2274,Motorbike,Pool,"60,781.88"," 26,400.00 "," 37,089.24 ","91,278.00"," 27,930.00 "," 38,650.00 ",,,"19,016.25"," 180,850.00 ","26,859.07"," 128,709.07 ",,"144,694.50","27,580.80",,"29,581.96","9,718.65",,"37,440.00",,"13,250.00",,
BFD-2258,Motorbike,Pool,"31,311.34","55,206.69",,,," 100,923.79 ","28,220.95",,," 28,000.00 ",,,"29,315.97",,,"15,391.53",,,"11,746.92","336,062.72","30,110.02","146,600.00",,
BFD-2194,Motorbike,Pool,"31,451.72",,"30,154.96"," 4,030.00 "," 78,472.14 "," 49,523.50 ",,,31182.97," 91,250.00 ",69458.37," 16,016.00 ","36,404.38","12,745.00","35,024.62","31,018.65","34,589.99","72,050.00","93,755.76","328,845.99",,"137,350.00",,
BFD-2190,Motorbike,Pool,," 608,497.57 ",," 212,521.52 "," 23,858.18 ",,,,,,"29,390.33",,,,,,"30,713.48",,"70,595.59","71,432.97",,,,
BFD-2177,Motorbike,Pool,"51,645.38",,,,," 390,376.16 ","30,529.04",,," 178,550.00 ","30,626.60","39,425.00",,,," 472,130.28 ","30,691.46",8437.5,,"3,340.00","29,502.70","8,126.20",,
BFD-2166,Motorbike,Pool,,"1,542.37",,,,,"23,010.21",,,,,,,"5,000.00","47,425.09",,,,,,,,,
BFD-2154,Motorbike,Pool,,,," 59,654.47 "," 24,299.23 "," 159,301.08 ",, 800.00 ,,"10,721.00",,,,,"49,293.04",400,,2644,"2,428.53",,,,,
,,," 715,325.46 "," 2,405,636.05 "," 749,862.17 "," 2,240,624.95 "," 844,757.71 "," 3,787,360.54 "," 965,195.96 "," 1,064,433.14 "," 848,646.49 "," 1,941,409.08 "," 1,028,659.32 "," 1,747,958.20 "," 888,833.31 ",2104510.37," 825,818.91 ",3500645.14," 862,201.62 ",1907652.95," 868,222.87 ","4,189,271.34"," 524,184.88 ",1197631.69, -   ,0
,,,," 3,120,961.51 ",," 2,990,487.12 ",," 4,632,118.25 ",," 2,029,629.10 ",," 2,790,055.57 ",," 2,776,617.52 ",," 2,993,343.68 ",," 4,326,464.05 ",," 2,769,854.57 ",," 5,057,494.21 ",," 1,721,816.57 ",, -   
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Service," 9,121,708.70 ",,,,,,,,,,,,,,,,,,,,,,
,,,Repair," 26,087,133.45 ",,,,,,,,,,,,,,,,,,,,,,
,,,Service & Repair," 35,208,842.15 ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
